text,labels
the freaking king ,1
thanks <user> the halloween event was awesome i caught so many ghastly and saw a variety of pokemon !  # thanks !,1
shame i 'll miss the balanced reporting ,1
buhahahaha !  at its best emoji_15,1
public announcement # plsjointhecue  # justforlaffs emoji_97 emoji_97,1
"so much for free rewards , gonna take me twice as long now . thanks <user> ",1
i love respectful customers . ,1
totally legit ascam ,1
"best cup competition in the world , uncontrolled excitement ! # facup ",1
my cousin knows me too well # coffee ,1
kudos to <user> and <user> for making delhi a better place to survive  # polluteddelhi,1
"thanks <user> , that 's really really great .  # netflix # oitnb # error",1
happy valentines day ! ! # valentines # valentinesdaycards # valentinstag # cupidday  # snrtg # folloforfolloback # follo4follo # sales,1
it appears this is the documentation <user> airlines adheres by when overbooking flights  # boycottunited,1
damn what a good looking toyota  # cleanse,1
 hahaha,1
"hey <user> , can you believe a photog would set up to get this shot ? unbelievable ! ",1
"# sarfarazahmed to indian trolls . "" when you are good in cricket you don 't need to be good in english "" oval ( 2017 ) . <user> ",1
"imagine how good the <user> would be if we had us one of them "" elite point guards "" ! ",1
perfect weather for a repainted sundial . car spray paint has its uses  # british # weather,1
 : a politician is talking to his pilot for his next foreign trip # india # odisha # odia # narendramodi # modi # obama # sports # trump,1
"when did # newyork make <user> "" father "" of the city ? !  ^ _ ^",1
i suppose this gym will work to practice in this week .  srchuskies,1
boy do i love school lunches !  # burtfood <user>,1
go go singles  emoji_818,1
"<user> <user> nice to see <user> focusing on much needed and requested features , like unicorns .  # uxfail",1
he alone can fix it ! ! ! fix what ? ? # trump  # dangerous,1
some  & a bit of # fun # satire for the # feminism extremists out there !,1
i wonder where the sun is out ?  # ndawn,1
just your typical 1064mb high coming out of canada next week .  # arwx,1
"sure looks "" like the superfriends "" to me ",1
just a wild misha being a good camera man ,1
ex after <num> years : - miss or mrs ? me : - happy !  # valentinesday,1
<user> lol so close ,1
what happens when kids handling social handles of brands are too quick to reply without getting the meaning ! !  # fail,1
free government handouts paid by tax payers for the betterment of society ? ? here 's a suggestion for poor people : how about stop being poor ? ,1
"thanks for "" trashing "" the office <user> . you are a monster ! ",1
who sees themselves in their # children ? ,1
"<user> wow sargento , are you sure i can handle <num> whole almonds ? you 're too generous .  # somuchformyafternoonsnack emoji_156",1
"it 's time hot cross buns were banned , hot cross buns looks like far right english flags , a symbol of nationalism !  - egg hunt",1
this guy just trolled dominos xd :p # lol  # lolsarcasm # lolsarcasms  # fun # funny # funnypics,1
i am both perky and obnoxious . ,1
is it april fools day or am i getting more help w / my “ credit card debt ” or “ irs issues ” than <num> could ever imagine ? # fridayfeeling ,1
quick ! someone call a republican and have them draft a boycott of nintendo ! ,1
every second counts when its friday ! # pr_roast # prlife # prworld # prlove  # prjokes # friday # tgif # fridaymood # fridayfeeling,1
".. she is "" the most interesting candidate in the world "" ! # tmicitw # dosequis  # hillary # nyprimary # feelthebern",1
drop rates in crucible have been increased . :-/  we will see bungo,1
"oh cool guys , check out my account holdings - thanks <user> <user> you 're the best ",1
. <user> about to play bigsky leading weber in basketball . can 't wait to see this excitement in fb !  # fbs,1
"the gym instructor laughed at me and said "" well lucy looks happy "" but it was  because i was making this face at him",1
. <user> lucky muse don 't have a great stage show or i 'd be annoyed ! # seating ,1
"nice parking jobs , guys . ",1
i love talking about wind chill in late march . ,1
my dad is turning into <user> here is his reply on # maldonado leaving # f1  emoji_15 emoji_15 emoji_15,1
look out ! mega sale ! ,1
<user> is working through his email one form letter at a time . what a guy . he really does care about kansas . ,1
"oh , that 's what happens ? shoot ... ",1
"if you like someone , set them free . if they came back , it means nobody liked them . set them free again . # quotes # proverbs # funny ",1
ummmm ? i think i 'll pass . but thanks for the relevant ad <user> & <user>  # incaseyoudidntgetit,1
ever feel like some people say certain things just for the extra attention ? # youdooo  # noonecares,1
glad the warriors game is on abc ... thanks <user> for this instead of basketball  # fixitquick,1
good to know that those samples contain walnuts - never would have guessed ,1
"so excited , there 's actual work being done on the natcher <user>  i 've never seen a road take this long",1
"corollary : if your bladder is tiny , don 't drink a huge bottle of water before getting on the plane . # traveltips # haiku # lol # funny ",1
i am sure these times were far better  emoji_1109 emoji_117,1
"first of all , it 's bryan . second of all , what a riveting two scenes  # days ohigley # liesdenatold",1
for the most important email i received today # yey ,1
"thanks for the assistance , <user> !  # you_were_no_help_at_all",1
# liberallogic why she hangin wit da kkk ! ?  # maga,1
thank you <user> for the sticky steering wheel  . drizzled chocolate syrup looks fancy on coffee but not in my hands .,1
hard to believe it 's only hector 's 2nd day on the job at <user> . he was awesome !  # becausebirthday # ,1
"gee , i wonder why # uncletex is shunning <user>  # nationalbeerday",1
my feelings more and more each day ,1
"<user> i understand , she really is a threat for the western world , and for # americafirst <user> # muslimbanprotest ",1
"<user> yeah , these patrol cars look so similar i can barely tell them apart ",1
my current 100mbps fibre line . so erratic . thanks <user> and <user>  . wtf am i paying for,1
definitely me # lol  # lolsarcasm # lolsarcasms  # fun # funny # funnypics emoji_29,1
"<user> <user> nope , definitely no favoritism from <user> about the town hall . ",1
<user> thanks for truly being uncarrier .  # ununcarrier,1
burn :p # myfirsttweet # lol ,1
got my # greatspot at the well organizes # wearedevelopers conference ,1
how clients see pr pro .. # pr_roast # happyramnavami # prworld # prjokes # prlove  # pun # prlife # wednesdaywisdom <user>,1
once again meteorologists accurately predict wet & cold el niño . congratulations on forecast . nailed it ! ! ! ,1
big shout-out to the cops on mlk day for keeping us safe from dissenters . can 't have that . # thinblueline ,1
shame my city is so ugly . # chicago  # lovethiscity,1
"it 's not a rabid wombat situation either , so i guess we 'll never figure it out .  # guncontrolnow",1
your friday reminder : people are not more important than the process ! ! ! ,1
i would like to personally thank <user> for being the best company out there . this makes 17/18 bad experiences . solid record . ,1
wow . that <user> sure is a warrior for people . ,1
 is in my veins,1
good news ! found a new job ! ,1
<user> <user> <user> thanks and yes they do . but pits are vicious killer dangerous animals ,1
they 're not white supremacists . they 're just economically disenfranchised . # charlottesville # nazitinder  # theyarenazis,1
it 's a shame that i don 't enjoy # rollercoasters .  # sixflags # greatadventure <user>,1
"# gopmovies the "" choice "" . # thechoice some options these are !  .",1
nice to see the <num> people or so at <user> <user> <user> # canadiantrackandfield # proud ,1
"it is the joy of every <user> student in the ed program to hear the phrase , "" turn it in on chalk and wire , ""  # whatishappening ?",1
from usa but made in vietnam ! lmao ,1
the weather in london over the past <num> days has been both consistent & lovely  artwork : esther ellard <user>,1
"trying to do some work , but # windows10 decided now is the time to update . thanks ....   # sigh emoji_226 emoji_226",1
nice one <user> . received this one in the email today .  # fail,1
back in the good old days . # kardashian # kardashians # jenner   pic # funny # funnymemes # memes # meme post,1
going <user> ? avoid the steak burger that comes looking like this all for the worthy price of £ 10.60 ! # bargain  # wasteofmoney,1
it has always been a mystery then and now as well ! # pr_roast # prlife # prworld # prlove ,1
happy new year !  # newyear # goals # hangover,1
jihad ? west ... are you kidding me ? a nation so divided do you in your right minds think r capable of harming anybody but themselves ... ? ,1
one more thing the uk and the us have in common : the nominal leaders like to have their # bringyourchildtoworkday ,1
"why didn 't i think to talk to her before ? that will fix everything ! !  # ffs ( they clean the church , btw ) emoji_88",1
love how <user> maintains their platform & removes snow !  sosafe been <num> hrs since snow stopped emoji_73,1
""" see ? you tried and you failed . the lesson is : never try ! "" - mr . fagan # keepingitreal  # 100thquote",1
"# 10pscore not to much to say about this one , other than its the best game i have every played . ",1
this page has my biography # epicfail ,1
wow . great first experience with <user> <user>  emoji_177,1
<user> challenging preconceived notions about modern nation-state with their graduate employment survey ,1
"honestly , dillon takes awesome pictures of me . ",1
true . do you agree ? # quote # thoughts # true # funny ,1
don 't worry carter . i wasn 't reading that book or anything . # cats # fatcat # reading # books # considerate ,1
holy shiznit . did not expect that from marla ! man she was good in executive decision  # dwts,1
2 inches ! ? whatever shall we do ? ? how will we survive ? ? # wtf  # thisisiowa # dummies,1
i had nightmares . nothing like a little night filled with # torment to fuel my artistic soul  emoji_872,1
i 've fallen to the memeristmatist level . # cartoons # memes # meme # funny # art # lol ,1
 way of life,1
love when a book isn 't even written and readers already rate it .  # readitfirst,1
he is pumped !  # beenagreatconference # xtremewinter,1
only time of the year where <user> is at the top of tbe table .  # football # trollfootball # funfacts emoji_15,1
criminals and terrorists will follow gun laws ? # guncontrol # gunsense  # itsaheartissue,1
agree ? ? ,1
"i mean , unless you 're super into limp , moist , overcooked food . # travelfoodie # traveltips # haiku # lol # meme # funny ",1
<user> pearson 's temp scorers are paid more to grade fast . that 's a reliable way to score a test . ,1
orange logic at work # humpday # truecolors # wwss # workplace ,1
ben carson joins other great americans as kid rock in endorsing donald trump .  # bencarson # uspoli,1
really ? i thought it would be enough to get hired as well ... what is going on ? ! ,1
need this couch in my life  # funny,1
"thinking well , if trump 's white nationalist built wall isn 't a bad idea <num> # phoenixrally # trumpinphx # bannonfilms # tuesdaythoughts  emoji_549 emoji_366",1
when i see <user> using gmail for twitter i instantly need to point at his reaction to her emails ,1
huh .. i wonder what this might mean …  # winterclassic # letsgoblues,1
"wow yet another literature anthology , just what i needed :-)  # englishmajorprobs",1
when you pick up your <user> online order and your shirt looks like this . outstanding work . ,1
the hearing for ben carson starts today for his vision for the future of hud ... just look at his great logic and reasoning ! ,1
ha ha xd like if you had a laugh in this scene .. # lol  # lolsarcasm # lolsarcasms  # fun # funny # fu …,1
love it when venues have huge performance areas ,1
"sure , they don 't enjoy working together . the frowns on their faces says it all .  # liason # gh",1
tuktuk and their marketing ! so epic . i wish the marketing guy could train me .  # stupidasf # lka emoji_15,1
you go girl ! # girlthing # powerwoman # attitude # expensive # free # lifecrust ,1
"# literally can never listen to <user> the same way again . thanks , <user> . # thanks a lot .  # watchitbosephus",1
seems appropriate ... ,1
"<user> i didn 't want to eat this taco , i just wanted it to disintegrate on my plate . thanks , guys ! ",1
yeah it 's true . # tree # wifi # life ,1
yeah ... this stream for # wrestlemania is awesome ! !  <user>,1
<user> really does have the best insights ! ! ! !  # consulting # report # mckinsey # greatfind # old,1
we are just so appreciated ......  # educatorday emoji_156,1
""" sweepin "" it real ... # comic  # wtf",1
"nazim kadri is good offensively , not so much when it comes to diving and defensive end <user> ",1
worst day ever .  <user>,1
"ha ! nice , abc . pixiled ur right . keep up the top notch job .  i see they loved rubio & christie . # shocker",1
i bet all youtubers envy this amazing set up ! ,1
just ,1
yea this guy is really going to help turn around the franchise  rt <user> : bae,1
there r <num> types of ppl  emoji_15 emoji_1778,1
thats all it takes to develop third world countries ? ! why have they been living in squalor all this time ? ! ,1
# tbt that time <user> invited me to her swinger 's party  # ididnotgo,1
birthday gift ? ,1
sweet . good job <user> .... good job !  # annoyed # workfromhome,1
can we all take a moment to pray for ironman 's costume in <num>  # funny,1
"trekked to the big buddha today - chose the # bestday , wasnt foggy at all ",1
when you waited <num> years for your favourite movie ! ! # movie # judwaa2 # bollywood  # salmankhan # varundhawan # onemorechance # pillowtalk,1
reincarnation is real ,1
interesting # conversation between # aadhar # apple & # samsung ,1
<user> donut for lunch today # cleaneating # healthy ,1
never too much drama for this speech mama ! ,1
this is so exciting ! i 'm eligible to receive # marketing emails from greyhound ,1
such a shame that the obama administration isn 't doing anything to fight # terrorism worldwide . <user> ,1
"<user> calls muslims "" sneaky rats ... sneakyrats that that blow people up "" oh the horror , those poor terrorists  <user> <user>",1
<user> please ban wastage of milk on # mahashivaratri as this is cruelty to animals . as you banned # jallikattu before ,1
"this software has solved the ux difficulties , making attaching digital signatures to pdf super easy ",1
friendzoned   emoji_352,1
"strong leadership . what 's the other s word ? i forget . anyway , patently untrue as i 'm sure will be mentioned on # bbcqt ",1
wow <user> how do you offer these prices  seriously 54.95 vs 55 ! ? !,1
rt scottpopescu : new favorite jersey just came in # tunesquad ( sorry for the dirty bathroom lol )  # funny,1
"gasoline is to expensive . changed to "" cheaper "" transportation . <user> # ecofriendly ",1
domino 's reveals # dominos  emoji_3444 emoji_3444 emoji_3514,1
""" any man with two hands has a fighting chance "" goodbye <user> . you will be forever missed .  # goodriddance",1
when your safe won 't open so you use a hammer to open it super easily literally took like <num> hits # quality ,1
"boy , was paul misled in wanting someone to find repentance .... ",1
the views of # tongariro and # ngauruhoe were nothing short of spectacular !  # quitehidingintheclouds,1
got to love <user> being the fastest uk network … ,1
# harrypotter <user> when you are feeling  with # voldemort,1
i didn 't know # obama had insight ! don 't retweet if you think he has insight ! # haha  # trumptrain # trump2016,1
3 delays already for same flight . yay allegiant .  # travel # airlines # delayed,1
be the envy of your friends ! our first two followers to come to reprographics will get this amazing mv16 goody bag . # mv16induction ,1
<user> noce looking cheese sticks ! ,1
how many of you have played with it ? ? ?  # viralpic # viralmeme # viralcontent # viralhub # viral,1
thanks <user> ! you guys are the best ! ,1
wow can 't believe that tomorrow i 'll finally get my eyebrows done after <num> years  emoji_1778,1
there will be no mercy . # traveltips # haiku # lol # funny  # meme,1
sorry <user> had too  # empower <user> <user>,1
 or not ? emoji_549,1
ahahah what an amazing finishing photo ! ! ! wonder if the one pro rider will regret this ....... great for his sponsors though ,1
"hundreds of people lined up outside my front door . don 't believe the liberal picture , i see hundreds .  # trump",1
"good thing the trans community didn 't predict christianists would target ts for hate-spewing as soon as gay marriage was won , eh ? ",1
spring is blowing ,1
when i clean my room for the first time in <num> days and show it to mom  # roomservice emoji_15 emoji_15,1
rules are made to be broken  # funny,1
 # worryfreezone noodling on the topic of # worry for my next # book . gotta have something churning in the pipeline ... # selfhelp # reframeit emoji_549 emoji_549,1
""" hi ! ! "" "" we 're here ! ! "" best shirts imagineable , even in this chilly 91 ° heat .  # honeymoonmania <user> <user> <user>",1
when people talk about their relationship i 'm like ...  # spiderman # spidermanmemes emoji_19,1
well-said  emoji_131,1
# judgement is up to the # dog ,1
""" it was a dark and stormy night ... "" # books # reading  # writing # dontdoit emoji_2188",1
gosh i just love this after a <num> hour work day ... thanks <user> <user> job well done  # playadelrey,1
"cabs just handing out cash . korver 's getting paid , 3 - year $ 22 - mil , following his breakout nba playoff performance . # nbasummer ",1
and that place is nowhere ! # pollution  # randomthoughts,1
"wow , <user> always revolutionizing ! who could imagine , one day , we would be able to get a numeric keypad on a keyboard ! ? ",1
i do this all the time  emoji_131,1
work who needs it - let 's rob a bank ?  let 's getaway # rhetorical not <num> rhyme is a crime - sounds like grime,1
yay more rain & flooding .  # houstonflood # rainraingoaway,1
""" he was a good man "" you have to die to hear this <user> ",1
 time,1
just love what texas weather does  emoji_145 emoji_145 emoji_145 emoji_145 emoji_145,1
i can bring tampons into hob ! wooooo !  emoji_15,1
"wow , is there a reason for this ? ",1
"at what point is enough , enough ? if you gave this lack of effort in the workforce ... great job # knicks ..... ",1
this new <user> is possibly her best work so far ... # art # congrats  # london,1
liking my super fast internet service .  <user> <user>,1
"and , <num> minutes later ... not feeling lied to at all . guess they get you with optimistic thinking . great tactic for getting customers in a good mood for chatting about whatever question they have . ",1
"side benefit of attending isa # signexpo , pete rose ! # longlineforautograph ",1
priorities . key metrics win wars . ,1
hitting sure has changed in <num> years . ,1
"george orwell : "" do not imagine , comrades , that leadership is a pleasure . on the contrary , it is a deep and heavy responsibility . "" ",1
"well , if it gets me 'specially designed merchandise ' , sign me up ! ",1
this guy is so racist ...  emoji_3434 emoji_15 emoji_15 emoji_15 emoji_3432,1
<user> is going to be so happy for me ! ,1
ya its true # bestfriend # explorebc # bakchodi # bakchod # haramipanti # haramipana  # billi # official # manhoos # desi # trolls emoji_929,1
how original ,1
i was almost set on a guitar but then i saw this ! . . # harddecisions # jk # choosing # guitars # taylorswift # taylorguitars # shopping # samash # acoustic # amps # gear # gig # rig  emoji_2663 emoji_131,1
the worst is when you realise # dad doesn 't get  . # icarly,1
"you can 't sleep at 2.00 am , thinking why # sugar  emoji_549",1
just google earth from space . # earth # flatearthers # flatearthsociety # stupid # stupidpeople # idiot # idiots   # memes # moron,1
this  # funniestquoteoftheday emoji_19 emoji_19,1
# shocking img of an aggressive # us # navy ship cruising dangerously close to a # russian # su24 jet # balticsea ,1
 as a 2nd language :-p,1
thanks aristotle # hooligans # funny # funnymemes # memes # comedy # thursdaythoughts # thursday # dankmemes  # work # workflow # office # morning # goodmorning,1
"its disappointing how this presidency is making us all money , securing our borders , & returning americans to work .  thank you <user>",1
living in sydney this time of year is truly awful . the weather we have to endure is horrid  # rubbingitin,1
great work <user> . i am so happy that i got error 5002 . now i can fix this issue on my own ! # errormessagesmatter ,1
<user> thank you for the opportunity to catch articuno . <num> balls to catch a magikarp and only <num> for articuno . totally fair ,1
was going to watch a youtube video but had to click on this great ad for keychains instead . # tooawesome ,1
my favorite part is where the # motocross is bigger than the # enterprise .  <user> <user>,1
a little taste of some of the fun folks are having on the roads this morning ...  # brutalcommute,1
"here . love you , sure ... # imwithstupid ",1
less is more .  memes post # beer # beerfest  # funny # funnypic # drink # memes # meme # beeroclock,1
* checks grades *  # funny,1
# dimagchalao :p m narendra modi 's unwritten tweet for the families of those farmers who lost their lives in police firing . # mandsaur ,1
you don 't say ? ! # blizzard2016 # snowmaggedon2016 ,1
this record ! # gilgitbaltistanindependence # 1stnov # mygilgitbaltistan via <user> ,1
so sorry to see <user> and his stable of stolen image bots unfollow me en masse ears ,1
# greatindianfestival # amazon  thnx for offering rs . <num> off # lightningdeal on the asin b00fzca51c . appreciated :p,1
i should get an award for the awesome sleep i get  # fitbit emoji_236,1
can ’ t wait to get mcinnes in ! ! ,1
breaking news : the pope just changed the lord 's prayer : # satire  # atheism # atheist # catholic,1
 # climate_change # climate_change # climate_change # etc what is better than winter in the spring ? winter in the summer .,1
i quite enjoy his comicsfeel like real human # joancornella  # 大好き emoji_268 emoji_23 emoji_268,1
happy easter to all of our bad eggs . # easter # easterbunny ,1
the difference between men and women  # funny,1
bitcoin : the future of finance today ,1
""" we haven 't done anything in free agency ! "" yeah , you 're right . ",1
loved my walk last night ! only <num> bats swooping over head making there way out to feed # walk  # mackay emoji_73,1
<user> hey <user> does # expass work in florida ? just another wonderful bonus today . ,1
truly .. # quote # learnforthefuture # lesson # folloforfolloback # lifelessons # quotephase # amazing  # whenwerise # ellendegeneres # funfact,1
"i 'm not even catholic , why am i here ?  emoji_15",1
oh no ! my tinder profile is hidden now because i 've been so inactive . how will i ever find someone now ? ,1
have a thrilling thursday m 'dears . # thebedroomhumour  # nsfw photo credit : pinterest,1
feeling festive today ,1
"thx for the love , bud . i really appreciate it ",1
this . so much this . # godhateslargeformatprinting  # protest # owned,1
the result of the genius of our world leaders .. wow ...  .....,1
"<user> panorama ridge is out , it 's ok the oilers haven 't been in the playoffs for a decade , not a big deal . ",1
i think i suffer some kind of color blindness . i cannot distinguish between # flerf and  . are they the same ?,1
i love this game so much  # ps4share,1
 .. lmao emoji_15 emoji_15 emoji_15,1
"the <num> languages all # virgos speak . # english # profanity  , # truth and # love but , an # indian # virgo knows at least <num> more emoji_131",1
now whodathunkit ? ha ! ,1
quite the contradiction ! what an excellent judge of charecter he is !  # nevertrump,1
"icicles on the car ... oh the joys of winter , how i 've missed you so !  # floridahaswimpifiedme",1
no theoretical limit on central bankers ' ability to grow balance sheets = stocks go higher forever ? # stocks # centralbanking ,1
"omg the coyotes are posting from salt lake city , proof they are moving there ... ",1
the excitement of watching non stop attacking quality football at barnsley away as totally knackered my litttle bluenose out # bcfc ,1
# tbt to our holiday bash where no one had any fun ;) ,1
all we gotta do is put taxes at x % and we will be liberated . cause you know money liberated man . ,1
"i wish , i wish , w / all my heart that i can get through this semester without falling apart ",1
spotted this while driving last night in # london # stokenewington  # proudbrit # mylondon,1
the original group chats  # funny,1
"* breaking * all of the nominees will be donating their $ 100,000 goodie bags to support refugees . # oscars # oscarsfail  # hypocrites",1
the <user> being truly liberal . how dare they ! ! ! ,1
"yes , i 'm being totally serious  spoken so well , i 'm not even sure sometimes emoji_73 emoji_156 emoji_689 emoji_75 emoji_204 emoji_410",1
that 's it . i am quitting my job . and just three weeks before the start of term . what great timing ,1
hahaha !  # snapchat,1
why yes 71st street in tulsa on a saturday afternoon is a brilliant route for an oversized load ,1
<user> what do we call this ? where do we rate this ? april fool or what ? # legendary # clashroyale # supercell  # aprilfool,1
<user> thanks for literally scraping the bottom of the pan ! # quality ,1
my  is one of my many # talents,1
the man on the mic - goodwood fos 2017 . # drywit  # attentionpaddock # shouldibeaskedback,1
have a wicked wednesday m 'dears . # humpday # thebedroomhumour  photo credit : pinterest,1
some of the things that went down yesterday ... no big deal ... ,1
<user> how do i phase through attack midair like the l7 ai ?  # arms # nintendoswitch,1
took a trip to <user> today and did some serious colluding with # russia and this is the spot to do it !  # maga,1
happy birthday <user> ! ! hope u have a fantabulous day bff luv u # hype # noice  # thebarbara # frats emoji_276 emoji_278 emoji_280 emoji_282,1
greatest invention ever . ,1
at least it is nice to see the unbias reporting & equal number of stories from the media on the <user> # travelban - - ,1
what a cute muffin  # comedy # dogs # dogsoftwitter,1
print it ~ frame it ~ hang it : i 'll turn your quotes into art for $ 6.00 .  # women # posters # quotes # fashion,1
"me n pops rockin some of our <user> "" cult "" garb to my cousins second bday party in li . hope we don 't mess him up too much lol ",1
really ? ,1
less thinking means more happiness # brothehat # dogs # happiness # meme  # lol,1
not # breakingnews : tomorrow 's forecast is for more _____ . # 4letterword  # rainesville,1
really need to watch what i say sometimes  <user> <user> <user> <user> <user> <user> <user>,1
<user> <user> thank you for the customer service .  # upsetcustomer # whyshouldistay,1
"umm ; soggy bread , a darkened egg , wet salt , no pepper and really bruised apples ! delicious , <user> ! thanks . ",1
yes . i always wanted paper mario sticker star : prettier edition . pmss was the beeest one ! # nintendodirect ,1
class and decorum of the left .... # thelackof # sigh ,1
laws don 't apply to wealthy !  rt <user> : my dad went to panama and all i got was this lousy t-shirt .,1
such a relaxing saturday morning . ,1
"in secular country like india "" religious appeasement "" should hv no place in politics . arvind kejriwal delhi ( 2014 ) . <user> ",1
over to you ... <user> hahaha ,1
hahaha ... another reason to be billionaire ...  # futurebillionaire,1
can anyone of you imagine a better way to start the new week than having a salivary gland biopsy on monday morning ? me neither ...  emoji_300,1
y 'all i am seriously an amazing photographer  emoji_15,1
thanks <user> . ,1
"donald trump 's social media manager gets $ 300,000 for posting epic tweets like this  emoji_1930 emoji_1651",1
<user> best download speed .             . 10mbps never before on any network # jio4g # reliancejio  # mumbai # business,1
party here tonight with protocol updates ,1
sunsets are def not my thing .  # homohoes,1
"happy birthday to my literal fam , youre a solid sister and an okay person . # dontfliphimoff  # shutupalyssa",1
ahhh nice to see that # cigarette was a necessary staple  # war # history # funfact,1
hahahaha # monday ,1
""" lebron , i 'm trying to help you ! ! . stop flopping , the refs will call the fouls ! "" # nbaplayoffs ",1
yep . my kids ' lives are hell . just look at how unhappy they are . ,1
definitely not my motivation . ,1
"yeah b / c puking , brain damage & <num> teen deaths a year are really cool  # toocooltodrink # condescendingwonka",1
awesome . ,1
"yep , god bless girls .. # fact # lol  # didyouknow # tweet # women # comedy  # rofl # girls",1
surprisingly there weren 't any recipes for chips . i thought you loved them <user> # hululies ,1
<user> just played the most balanced game in battlefront i 've ever seen : ,1
"making sure the cookies are gluten-free , fit into a paleo diet , and won 't mess up my eggnog cleanse  # wintersolstice",1
never mind us . he 's just a que and i 'm just a rapper  # allunity,1
<user> crash on <num> east . thanks penndot for the email . ,1
hitting sure has changed in <num> years . ,1
oh no .... but ernie and burt from sesame street were so innocent ! ! or was i just being naive ? # recovery # recoveryhumor ,1
me in the museum . # museum  # fun,1
"no , just no . # ugh # mulailagi # sayno # nowater # novaccine # biarpunahsekalian  # alergih2o # mposss",1
had an unbelievable weekend at <user> this year . not many are as photogenic as me . ,1
 i highly recommend this guy,1
# uncletex & # bigminpig shunning us ! gee i wonder why ... ,1
great advertising ! # toronto ,1
"and they say romance is dead , nothing could be further from the truth . ",1
wait ... did those damn russians made americans go to vote or something ? # pokemongo # pokemongate # russiagate  # satire # russia,1
"no , really ! ? ",1
that awkward moment ...  # alternative # tsmag,1
nice chilled out sunday tunes at <user> ...  # 240bpm,1
ever wondered where # hillary # goldwater # clinton get her logo idea from ? red arrow pointing to the right ! ,1
"no fear # cottonbuddy # cottonbud # psychotherapy # psychologist # scared # comic , # webcomic # funny  # nofear # fear",1
i ´ ll shut up about this now .. just wanted to share this . 1st picture .. how bungie sees surgery vs . how surgery really is .. ,1
good job dsny  well over <num> hrs nothing done by <user> after they drop and run over trash bag / it 's ok it 's on ppl 's lawns,1
<user> i can 't believe how close to the add my sandwich looks .  what the hell is this ?,1
not this client this morning  # lightenup emoji_15,1
"oh , is that all ? ",1
story of boys nowadays pic <num> : before falling in love pic <num> : after falling in love # billasharabi # sunilgrover  emoji_193 emoji_517 emoji_297 emoji_2338,1
idk how we keep going through so many fire pits # fire # destruction # awesomepic ,1
i shudder to think of all the gluten - and lactose-laced water i 've inadvertently drank before this info was included on the label . ,1
