id,tweet,sarcastic,rephrase,dialect
66,اغلب الابراج مسمينها ب اسماء حيوانات لأن مايصدقها الا الحيوانات هههههههههههههم,1,الي بيصدق الابراج ده غبي وحيوان,levant
67,انا مش هعمل دايت عشان ده يعتبر رجيم والرجيم اسم من اسماء الشيطان وده كفر نكفر يعني ولا ايه,1,اعمل رجيم ولا ده كفر,nile
68,الام هي العطاء والتضحية ولكن من يهتم غير الابناء,1,الام هي الحياه,nile
69,فرق كبير ان البنت تحط علي وشها بودرة وانها تحط وشها في البودرة,1,ايه كمية البودرة دي اللي علي وشك,nile
70,الرد المتأخر زي الأكل البارد يسد الجوع بس ماله طعم  حكيم ياشيخ,1,الرد المتاخر  ملوش طعم,levant
71,تعالي كل مكرونا وانسي اللي حصل من ايفونا,1,تعالي يا زمالك مكرونا وانسي اللي حصل من ايفونا,nile
72,هل تعلم ان البنت القصيرة ربنا عوضها في لسانها,1,قصير بس يحير قطع لسانك يا شيخه,nile
73,هاظ السيس فش زيه، تحفة 😂	,1,هاظ السيسي فش اسوا منه,levant
74,مدري ليش إذا كان معي مفاتيح .. وابي أفتح الباب يصير المفتاح اللي ابيه أخر مفتاح,1,لما بعوز افتح بيكون اخر مفتاح ,gulf
75,الله يرزقني روقاان وفضااوة اللي يكتب سآلفة طويلة بآلانجليزي آلمعرب ☺̷,1,روقان الي بيكتب بآلانجليزي آلمعرب,gulf
76,مرة فرخة انتحرت كتبت في وصيتها خلي ماجي تنفعكم,1,فرخه كتبت وصيتها ,nile
77,اللي بيته من إزاز ميحدفش الناس بالطوب,1,بيت زجاجي وصاحبه بيضرب الناس بالطوب,nile
78,خناقة أحمد مجاهد وشيكابالا إستمرت حوالي ٥ دقايق كاملة ..شيكابالا في الخمس دقايق مقالش لمجاهد غير أنت أهلاوي🤔,1,خناقة أحمد مجاهد وشيكابالا ,nile
79,يعطي الحلق للي بلا ودان,1,مش يستاهل حاجة قيمة,nile
80,الف مبروك الزمالك خد الدوري 13 اللى الاهلى واخده من قبل ما اللعيبة تتولد اصلا,1,مش عارف لعيبة الزمالك فرحانة بايه,nile
81,ايمن اشرف هيمسك لوكاكو اللى فان دايك مش عارف يمسكه,1,ايمن اشرف ف الطراوة,nile
82,ليت كلْ الزوايا التي جمعتنا بهم تعيدهم إليها في اللحظات التي نتمنى وجودهم فيهآ ..!,1,ليت كلْ الزوايا التي جمعتنا بهم تعيدهم إليها,msa
83,لإَ تنخدُع في منظر إَلنإَسُ يإَخۉۉڪْ شف إَلبحَ‘ـِـِر .. شڪْلـہۧ حَلۉ بسُ .........  مإَلح .! ,1,متتخدعش بالمظاهر ,msa
84,هاروح اتحزم وأجيلك🙂أحلى من الشرف مفيش,1,هاروح اتحزم ,nile
85,غبي بيسافر معاه سكر عشان الغربة مرة,1,بيحلي السفر بالسكر,nile
86,لما تدخل اداب وتسقط وتحول حقوق وتسقط فتحس ان جمال عبد الناصر مبسوط منك اوى ,1,جمال عبدالناصر يفشل فى الحرب ,nile
87,محمد صلاح قى حفل التتويج مبيسلمش على الممثلات الله على اخلاقك يا فخر العرب ,1,محمد صلاح مبيسلمش,nile
88,مرة واحد صعيد جاتله رصاصة فى الحرب مات من الضحك,1,الصعيدى فى الحرب مبيخافش من قوته,nile
89,ترامب دا لو فى منه اتنين العالم كان مات من الضحك,1,ترامب مفيش منه اتنين,nile
90,قالوا للحرامي احلف قالهم وحياة قلبي وافراحه,1,ان الحرامي معندوش ذمة وبيكذب ,nile
91,ترامب فش الو مثيل زي اتنين,1,ترامب اهبل,levant
92,الباب الي يجيلك منه الريح شيله وركب قبنوري,1,الي يعملك مشاكل شيله من حياتك,nile
93,عامل فيها ابن بارم ديله,1,شخص متكبر,nile
94,و ده الزمالك اللى منيم أفريقيا من المغرب بس هو مجهد شويه,1,و ده الزمالك اللى فاشل فى افريقيا ويخسر كثيرا,nile
95,العيون البصاصة تندب فيها رصاصة,1,الناس الحسوده عنيها تندب فيها رصاصة,nile
96,الله عليك يا بلاص المفهوميه,1,انت غبي,nile
97,مصر هى البلد الاولى فى العالم فى تصنيف التعليم ولا عزاء للحاقدين,1,مصر خارج التصنيف العالم للتعليم ,nile
98,شيكابالا لاعب منفوخ على الفاضي زي البالونة المنفوخة هو,1,لا عب متكبر بدون وجه حق,nile
99,نافخلي نفسه وعاملي فيها جاكي شان,1,فاكر نفسه قوي ,nile
100,فينيسيوس أفضل لاعب فى المجره,1,فينيسيوس لاعب سيئ جدا,nile
101,عضو مجلس شعب عامل زي المعلقة الخشب لا بتجيب ولا بيودي,1,عضو مجلس شعب ليس له فائدة ولايصلح لاي شيء,nile
102,بيقولك مرة واحد صعيدى حب ينتحر نط من ع السلم ,1,ان الصعايدة اغبيه ,nile
103,ان شاء الله اللاعب شيكابالا هيلبسنا في اتخن حيط في النادي,1,اللاعب سوف يوقعنا في ورطة كبيرة,nile
104,الواد ده ذكي اوي لابس التيشرت مشقلب,1,الواد غبي مش عارف يلبس التيشرت,nile
105,الي يخاف من العفريت يعمل اعبط من العبيط,1,الي يخاف من شىء يحاول يتجاهلها,nile
106,الرئيس ترامب افضل رئيس موجود على مجرة درب التبانه,1,الرئيس ترامب رئيس فاشل واداؤه غير مرضى لفئة كبيره ,nile
107,الراجل الخايب خلفته كتير والبطيخة القرعة لبها كتير,1,الراجل الي معندوش شخصية خلفته كتير زي البطيخه القرعة ,nile
108,الواحد شاف ايام اسود من قرن الخروب,1,الواحد شاف ايام صعبة جدا ,nile
109,نفض يا مان كبر ايزى ايزى ,1,لاتكترث لشى ,nile
110,ده بني ادم ما يعرفش طز من يفتح الله,1,ده بني ادم ما يعرفش اي حاجة,nile
111,ده على اساس انه بيكلم عيوشة,1,ده على اساس انه بيكلم شخص غير مسؤل,nile
112,خلي بالك يا ريس المرة دي التالته تابته,1,اخر فرصة ليك,nile
113,محسسني انك اخترعت الذره يعني,1,انت معملتش حاجة مهمة,nile
114,انا عراف ان الشخص ده مش هيجيبها البر,1,انا عراف ان الشخص ده مش هيعدي الامور بسلامة,nile
115,متعمليش فيها محمد صبحي يا عم انت,1,متعملش نفسك محترم,nile
116,ده محسسني انه ارشميدس يا عم هو مفكر نفسه مين الاهبل دا,1,ده غبي مش عارف عايش الدور علي ايه,nile
117,الف مبروك للسباح المصري حصوله علي المركز الثامن من اصل تمن مشاركين الحمد لله انه مغرقش,1,السباح المصري مش بيعرف يعوم,nile
118,محمد سامي دا فاضله تكه ويطلعله قرون عشان سايب مراته بتتناك,1,محمد سامي دا راجل ديوث عشان سايب مراته,nile
119,مخلص جدا اللي بحسسك انه بغيابك رح يجي حد تاني مكانك🙂,1,اللي بحسسك انه بغيابك رح يجي غيرك هاد انسان خاين وخسيس,levant
120,و سعاد حناكة هنا عايزة 100 الف جنيه مهر,1,البنات المصرية بتبالغ في مهر الجواز ومصاريف الجواز عمتا,nile
121,ضحكولو تمد على طولو  هههههههههههه,1,تمادى إلى حد مقرف ,magreb
122,يا عيني عالادب والأخلاق اللي بتنقط,1,شخص معروف بقلة الادب,nile
123,قالو تعرفشي العلم قالو نزيد فيه,1,هذا متعالم,magreb
124,بيقولك الصفقة الاولى للزمالك عمر كمال و في انتظار حسن شاكوش و حمو بيكا,1,فريق الزمالك صفقاته ضعيفة وسيئة,nile
125,لقد مرت علينا كل الظروف الا الظرف اللي فيه فلوس,1,احنا فقر في موضوع الفلوس,nile
126,2019: كسول ومش مستفيدين منه حاجة 2020: مواطن واعي ومسؤول,1,الجلوس في المنزل وعدم العمل بسبب الكورونا,nile
127,وانت بقي فيلسوف عصرك؟ ماتنقطنا بسكاتك!,1,انت ولا فاهم حاجة يبقي تسكت احسن,nile
128,مش ممكن بجد انت ازاى كده دمك سم ! ,1,دمك تقيل و بارد ,nile
129,تحيا اليتيمة وماغد على فخووونسا,1,تشجيع القناة ,magreb
130,كان جاشعر يزيد فالفهامة كان لاعبين جزايرين علامة هذو خصوصيات يا معشر.......,1,لكل حريته الشخصية,magreb
131,يقولو بلي تكري فإيبيزا ولا فالسات تستقاملك كيف كيف كيما هدا لوتال ,1,سعر الفندق غالي ,magreb
132,مش معنى انك قولتلى رايك يبقى أنا هعمل بيه طب افرض انت حمار استحمر أنا كما زيك,1,مش معنى انك قولتلى رايك يبقى لازم اعمل بيه,nile
133,مستنين شهر أبريل عشان يكذبون فيه على أساس أنهم ملايكه طول السنه,1,مستنين شهر أبريل يكذبون فيه,nile
134,مش دايما السكوت علامة الرضا ممكن اكون ساكت بس بشتم فى سرى ,1,مش دايما السكوت علامة الرضا,nile
135,طيب اوي اللي يفتكر ان حد هيحبه اكتر من نفسه,1,الللي يفكر ان حد هيحبه اكتر من نفسه ده اهبل,nile
136,امشى عدل يحتار عدوك فيك يسكت بقى عدوك ابدا ,1,امشى عدل يحتار عدوك فيك,nile
137,لاعب كره يتزوج بعد 4 اطفال باركولوا يا ولاد,1,يتزوج متاخر هذا الاعب,nile
138,لاعب كره مخلص يسيب النادي بتاعه ويروح نادي اصغر علشان المرتب اعلي ,1,خاين جدا الاعب اللي يسيب ناديه علشان الفلوس ويروح نادي تاني اقل منه,nile
139,لا ينبغي أن يفوز الزمالك بالدورى بعد ذلك حتي لا نرى هذا الكم من السطحية والسذاجة والغباء,1,الزمالك لا يجب ان يفوز بالدوري,nile
140,بتحذرو بعد ايه مصر كلها عندها دلتا,1,جميع المصريين مصابين بمتحور دلتا,nile
141,انا لو انخطفت وطلبوا ٥٠٠٠ ابويا هيقول اقتلوه اوفر,1,ابي لا يهتم بي ولا يريدني,nile
142,عايزين تعرفوا الشروط هوا شرط واحد يستخدم فى كل وظيفة صنية كوسة,1,الواسطة هي اهم شيء للعمل,nile
143,سؤال هل كرونا بتزيد وقت دخول المدارس ولماذا لم تزيد وقت مهرجانات في ساحل الشمالي والمصايف,1,لا يوجد مصداقية لبيانات الحكومة فيما يتعلق بكورونا,nile
144,بيقولك شيكابالا سرق كاس الدوري وقلب ,1,شيكابالا حرامي,nile
145,سبحان العاطى الوهاب من بعد الشبشب والاوبئاب,1,بعد الفقر والفاقة جاء الغني والمال,nile
146,على اساس ان الدنيا ناشفه وملطشه معاك زينا,1,لا تقارن حالك بحالنا,nile
147,المصري اليوم : اختفاء درع الدوري من دولاب نادي الزمالك الدرع مستحملش أسبوع,1,درع الدوري هرب من الزمالك,nile
148,عامل فيها ابو العريف وهو مش فاهم اي حاجه في اي حاجه,1,عامل فيها ذكي,nile
149,هذا العبد حاط روحو ما يخراش,1,هذا الإنسان متكبر كثيرا,magreb
150,هذاك العبد راهو حاسب روحو رومبو,1,هذا الشخص يظن نفسه شجاع كثيرا,magreb
151,ياكل في في الغلة و اسب في الملة,1,يتنعم بالنعمة ويسب صاحبها,magreb
152,هتقعد تخترعلنا وتعملنا فيها زويل,1,متبالغش في تفكيرك,nile
153,من كتر فلوسك تسلف بنك,1,فقير معدوم مش معاه فلوس,nile
154,من كتر بطولات الزمالك مش لاقى مكان فى النادى يشيلهم فيه,1,قلة بطولات نادى الزمالك مقارنة بنادى الاهلى,nile
155,محمد صلاح يحمل الكرة لأنها لا تستطيع المشى الله على اخلاقك يافخر العرب,1,محمد صلاح يحمل الكرة,msa
156,الإسماعيلى بيلعب بالمدربين وعمال النادى,1,الإسماعيلى ماعندوش لعيبة,nile
157,عارف ليه غلو تذاكر المترو؟ علشان الشمال كترو,1,غلو اسعار تذاكر المترو,nile
158,ده داخل فاكر نفسه رامبو,1,جرئ يشبه شجاعة رامبو,nile
159,الحكومة دى مجاش زيها فى نزاهتها وإصلاحها,1,الحكومة فاسدة وفاشلة,nile
160,من قير كوكا لا تحدثني عل قاز هذا راه بيت شعري,1,كوكاكولا أفضل مشروب,magreb
161,عندما أتذكر أن هناك فتاة أدين لها بخاتم و مبلغ من المال تلقائياً أشعر بالنعاس.,1,أنعدام التحفيز,magreb
162,قال للاعبين ما تقابلونيش كي المخطوبات,1,إزالة صبغة الشعر ,magreb
163,الانسان هذا حاسب روحو حاجة كبيرة ,1,انسان كيما كامل الناس ما عندو حاجة زيادة,magreb
164,برايطوايط هو لي يستحق الكرة الذهبية هذا العام,1,برايتوايت لاعب بمستوى محدود جدا,magreb
165,محرز راهو يفكر فينا بأركان الايمان الله على اخلاقك,1,محرز يسجل الهدف الخامس ,magreb
166,قالك رئيس المغرب هو أمير المؤمنين تاع هذا الوقت 😂,1,رئيس المغرب حاسب روح أمير المؤمنين و جايبها سيريو ,magreb
167,فلورنتينو بيريز رايح يعطي كأس شامبينز ليڨ للخليفي باه يخلي مبامبي يرح لريال,1,فلورنتينو بيريز باغي يشري مبامبي من البياسجي بأي طريقة,magreb
168,كي كان حي مشتاق تمرة وكي مات علقولو عرجون تمر,1,وهو حي مكانش لي مهتم به,magreb
169,دير الخير وانساه ودير الشر واتفكره.,1,اعمل خيرا وانسه واذا عملت الشر ما تنساه,magreb
170,طول العشرة تعرف الذهب من القشرة.,1,تعرف الذهب من القشرة بطول العشرة,magreb
171,ده فاكر نفسه ابو تريكه 😂,1,واحد فاكر نفسه مشهور,nile
172,عامله فيها مارلين مونرو وهى شبه عود القصب,1,بنت مفكره نفسها انها جميله,nile
173,عامل فيها شجيع السيما وهو يادوب كتكوت,1,شخص مفكر نفسه شجاع,nile
174,بلاش حكايه محدود الدخل هي بقت معدوم الدخل او محروم الدخل,1,كلنا من معدومي الدخل وفقراء,nile
175,الحمد لله انا الموضوع كان قالقنى خالص كده هعرف أنام مطمن عليكم,1,موضوع النقاش موضوع تافه,nile
176,ظهور جزء جديد في ذراع الإنسان تصريح طبي جديد ده يعني الدراع بينبت نسقيه,1,التطور اسطورة غير قابلة للتصديق,nile
177,حامل في السادس وماكنتش ملاحظ ده قبل الجواز طب وبالنسبة لليلة الدخلة.,1,انت مغفل,nile
178,هى دى الاخبار الحلوه قبل المدارس ندفع المصاريف وبعدين بخ,1,المهم المصاريف تندفع,nile
179,لازم رضا عبد العال يكون عكس الآخرين لكي يستمر ظهوره إعلاميا مع أنه ضايع .,1,مجنون شهرة,nile
180,دي اشكال راح زمن الفن الجميل فين ايام حمو بيكا,1,الفن يسيطر عليه التافهون,nile
181,رضا عبد العال انا نفسى يجيبوك تهبد مكان البدرى عشان الجمهور يفشخك بعده وتتبط وتسكت,1,كلكم تهبدون,nile
182,ياعم حسام البدري ينوبك ثواب أترك المنتخب دة أنت افشل مدرب وكنت أفشل لاعب ولاتصلح تدرب مركز شباب,1,انت فاشل,nile
183,هنطبق الحظر الجزئي بس بعد ما نلم مصروفات المدارس ,1,المصرفات اهم من الصحة,nile
184,هو البرلمان اشتغل في تنظيم الاسره ماشاء الله ,1,البرلمان التافه,nile
185,فاكرة نفسها اينشتاين وراحة تخش علمي علوم,1,هي مش ذكية,nile
186,يوسف الشريف مش بيحضن ف المسلسلات ، شابوه يوسف الشريف,1,يوسف الشريف محترم وأخلاقه عالية,nile
187,يكون طالع من اللجنة ويقولك هسقط وتلاقيه جايبلك 99%، شالوم يا اخويا,1,الطلاب دول بيبقوا كذابين ,nile
188,ياعيني عليه يبقي غلطان ويجي يقولك صالحني ، اسمه الحقيقي قموصة,1,الناس ال غلطانة هي ال بقت تزعل,nile
189,النادي دا أصيل جدا طول عمره ف مكانه,1,النادي دا فاشل ومش بيتقدم,nile
190,حارس المرمي يشعر بالملل مع خمسه أخرون,1,حارس المرمي لا يتعرض لأى فرص او تسديدات من الفريق المنافس ,nile
191,مورينيو: كرة القدم للرجال على لاعبي أرسنال التوقف عن البكاء,1,لاعبي ارسنال لا يلعبون بشكل جيد,nile
192,محدش شاف ترامب يا جدعان ؟ أصله كان بيقول انه متفوق على بايدن في الاصوات ,1,ترامب كاذب ,nile
193,ابراهيموفيتش : هناك أمر مؤكد بطولة العالم من دوني لا تستحق المشاهدة...لا داعٍ من انتظار النهائيات!,1,ابراهيموفيتش يقول كاس العالم لا يستحق المشاهده ,msa
194,قال البشير أتحدى لو فيه زول سمع بالهوت دوغ قبل حكومة الإنقاذ,1,لم يعرف السودانيون وجبة الهوت دوغ الى في عهد البشير رئيس حكومة الانقاذ ,msa
195,هوه حد هيعد وراكو الورق ورقنا والدفاتر دفترنا الناس خلاص فهمت,1,العدد في الليمون,nile
196,الطول طول نخله والعقل عقل سلخه,1,قله العقل,nile
197,الواد داخل الإمتحان أحمد زويل خرج من الإمتحان أحمد بطة,1,داخل الامتحان واثق من نفسه وماحلش حاجة وخارج يعيط,nile
198,دكتور تحاليل أمه ماتت فضل يعيط ويقول تحاليلى ياما,1,دكتور امه ماتت فضل يعيط وينادى عليها,nile
199,مفكر نفسه توم كروز وهو معفن,1,هو معفن,nile
200,واحد بخيل أبوه مات فضل يعيط عليه بعين واحدة,1,شخص أبوه مات عيط عليه وبكى بإستمرار,nile
201,نجح ب 60 في الميه وعامل فرح,1,ده فاشل ,nile
202,ملقوش فى الورد عيب قالوا ده احمر الخدين,1,الادعاء الباطل,nile
203,بيشتغل تلات ساعات ويرجع يقول تعبان مش قادر,1,ده بيدلع,nile
204,بتعمل مقالب كتير في الناس وتتكلم عليهم وترجع تقول انا طيبه,1,دي شريره,nile
205,نجحت ف الثانويه العامه بالزق وعامله فيها دكتوره,1,دي فاشله,msa
206,دى فاكره نفسها انجلينا جولى,1,فاكره نفسها جميله ومثيره,nile
207,الناس لسه بتتجوز بردو لا حول والا قوة الا بالله ماحدش بيتعظ,1,الناس لسه بتتجوز,nile
208,رمضان بيه بيحب يقف على الكوره عندكو حد عيوطه والا نجيب حازم امام,1,رمضان بيه بيحب يقف على الكوره,nile
209,عامل زى ابو الفراجين معندوش يا اما ارمحينى,1,هو مش فاهم شغله ,nile
210,البنت دى عاملة فيها خضرة الشريفة,1,هى مش شريفة ,nile
211,وحدة تخينة شاورت للحنتور السواق قالها اركبى قبل ما الحصان يشوفك,1,هى تخينة,nile
212,الولد ده فى الذكاء زى ابوه هذا الشبل من ذاك الاسد,1,هو غبى ,nile
213,فقط بالمسلسلات !!    لمّا يحزن الرجل تطلع لحيته بسرعة ؟ ,1,يحزن الرجل تطلع لحيته بسرعة,nile
214,شالفايده اطرش تويتات و مافي اي ريتويت و الفولورز قليلين !؟,1, مافي اي ريتويت و الفولورز قليلين,levant
215,ساعدوا اللي مش لاقين ياكلوا الاول,1,ساعدوا الفقراء,nile
216,كب الطنجرة على فمها تطلع البنية لأمها,1,الأم و البنت متشابهتان,magreb
217,دى مفكره حاله ياما هنا ياما هناك🤣,1,مفكر نفسها ابن ناس,nile
218,الشعور بالملل قد يحولك إلى انسان اكثر ابداعا وانجازا,1,الشعور بالملل,nile
219,غدوة نشاء الله نوض على جيبوتي تاع صباح ,1,خسارة منتخب كرة,magreb
220,كاليتي شغل ماتش مرسوم بطباشير,1,جودة البث سيئة,magreb
221,مبولحي اذا دوش تسما راهو يبذر فالماء,1,فريق ضعيف ,magreb
222,الجنرال شنقريحة شرا المباراة باه يلهي الشباب عن الحراك واضحة ,1,شنقريحة دفع رشوة لربح المباراة ,magreb
223,القوالب نامت والنصاص قامت عجيبه,1,الناس عديمه القيمه,nile
224,كل الى فات حماده وكل الى جاى حماده تانى خالص,1,الوضع الجديد مختلف عن الوضع القديم,nile
225,هنحطها الفرخة ونتفرج عليها ولا بتبيض بيض دهب ونبيعه ,1,فرخة غالية جدا,nile
226,طول العشره هتعرفك الذهب من القشره,1,اى ان طول المعرفه توضح الامور,msa
227,طب هو فين ام اللقاح قدمنا ومحدش رد علينا بقالنا شهور,1,نظام صحي فاشل,nile
228,اعمى ولا شايف نفسه عنتيل زمانه وكل الناس مبهورة بيه,1,اهبل وشايف نفسه حاجه كبيره وكل الناس مبهورة بيه,nile
229,الناس ف مصر بتحب الكورة زى عنيها . مش معقول الهبل ,1,المصريين بيعشقوا الكورة زى اكتر حاجه بيحبوها ,nile
230,المتغافل دا ملك زمانه بيتغافل عن كل اللى بيضايقه وبكده بيعيش مرتاح نفسيا,1,الذى يتغاضى عن الاساءه بيرتاح نفسيا جدا وبيكون مرتاح البال,nile
231,البت لود عمها مهما كان فى جنوب صعيد مصر وهذه عاده غبيه ,1,الولد لبت عمه علو طول العاده دى فى صعيد مصر ودا عبط,nile
232,عوض أن يردم الحفرة التي كانت سببا في سقوطه و تأذيه بنى مستشفى بجوار الحفرة ,1,غبي و مخبول,magreb
